chunk	mod	action	motif	match	matched_link	ref	note	evidence
P1	tfmg	drop	M-08	fuzzy	tfmg:steel→aeronautics M-23	tfmg:steel→economy M-08	keep the regional trio tin/silver/palladium as mint metals; steel is the hull metal, not the settlement medium.	recipes/05-metals.js unified ALL steel into one pool; the slate itself CUT ironworks steel-mint for coin inflation — sam
P1	trading_floor	drop	M-08	fuzzy	trading_floor:trading_depot → economy (cross-route bridge + colony labor)	trading_floor:trading_depot → economy (Create-processed goods → player-minted coin / emera	M-08 credit lives at the numismatics mint chains; a villager-emerald loop is the pattern the player-run rework killed.	the block ONLY automates villager trades (dossier: 1 block, no recipe types); emeralds are its medium; the ratify-note's
S15	underground_village	drop	M-08	NONE		underground_village Stoneholm chest loot → loot-seed (numismatics coin)	v2.0 jar already pays exploration richly: emeralds plus Create components in worker rooms (tools/mod-data/loot/underground_village-2.0).	createblockchain piggy_bank CUT states the rule verbatim ("chest loot coins = NPC coin faucet, contradicts the player-ru
S15	underground_village	drop	M-04	NONE		underground_village Stoneholm structure blocks (dismantled) → create:crushing (M-04 deco r	vanilla stone-brick crushing is a pack-wide call for the batch, not this mod's weave; the row is a no-op as scoped.	digest: mod registers 0 blocks / 0 items; the row's "Stoneholm stone bricks / cobblestone / deepslate brick" are minecra
S13	valarian_conquest	drop	M-02	fuzzy	valarian_conquest faction loot (shields, armor, weapons) → economy M-08	valarian_conquest boss/elite drops (faction lord relics) → magic M-02	unauthorable both ways — no entity loot hook, and the relic would be invented content; re-filed under custom below.	loot digest = blocks/ tables only, zero entities/ tables; no relic-class item among 319 items
P2	aeronautics	mark-done	M-23	fuzzy	adjustable_burner fuel→create/aeronautics	aeronautics structural alloy→create (hull + drivetrain)	M-24 half thoroughly shipped. M-23 "hull" half is void — ships are free-form block builds, no hull-item registry to gate.	spine/54-weave-aeronautics.js (control ladder, TFMG circuits, Additions electric, Crafter builds) + 50-cross-tier.js (sm
P1	aeroworks	mark-done	M-24	NONE		NEW aeroworks:gyroscope/mechanical_servo/stepper_servo/joystick → via create:mechanical_cr	the whole 4-item mod is woven inbound AND consumed outbound; no further weave needed.	spine/54-weave-aeronautics.js re-authors all four items; spine/50-cross-tier.js makes aeronautics:smart_propeller consum
P2	aileron	mark-done	M-34	AMBIG	NEW aileron:cloudskipper + aileron:smokestack (enchants) → via ars_nouveau:enchantment (ap	aileron loot tables (enchant books) → survival	the mod already does this row; extending to modded dungeon tables is optional low-value polish.	loot digest — aileron:chests/end_city_treasure_elytra_enchants natively injects cloudskipper/smokestack books into minec
P2	ars_nouveau	mark-done	M-01	AMBIG	Wilden Guardian summon timing → magic (celestial gate)	foreign essences/lapis/amethyst → magic (M-01 hub)	hub exists; further mineral lanes are depth, not gaps.	33-magic-web-spine.js (arcane_essence both directions + occult essence on/off-ramps, allurite/lumiere-catalysed); lapis/
P2	ars_nouveau	mark-done	M-02	AMBIG		farm/mob surplus → survival (Sourcelink passive drain)	native mechanic, no pack artifact required; surface in wiki.	Agronomic/Vitalic Sourcelinks generate from crop growth and mob deaths natively; the row itself says "no recipe needed" 
S07	astikorcartsredux	mark-done	M-20	AMBIG		plow/reaper iron blade → create (M-20)	keystone supersedes the blade-level delivery (digest: plow has no iron natively); do not double-gate a daily tool.	kubejs/server_scripts/recipes/91-astikor-carts.js — wheel rebuilt around create:shaft, transitively gating all ~55 carts
S19	cataclysm	mark-done	M-15	fuzzy	cataclysm:amethyst_crab_meat (Blessed)→survival	cataclysm:ancient_metal_ingot→create	delivery differs from slate (mechanical_crafting gate, not sequenced_assembly) — a real equivalent; ladder exceeds the slate.	spine/40-gates.js T3 — aeronautics:gyroscopic_propeller_bearing requires cataclysm:ancient_metal_ingot via create:mechan
S17	chefsdelight	mark-done	M-26	NONE		chefsdelight feast-tier meals (Roast Chicken / Honey Glazed Ham) → diet-system consumption	row also mis-attributes FD items to chefsdelight; no authoring remains, the sink is live.	the named feasts are farmersdelight ids (FD digest; chefsdelight registers 0 items), and shipped Appleseed auto-derives 
P1	create_ironworks	mark-done	M-30	fuzzy	tin (c:ingots/tin, regional)→economy via player-minted coin	tin ore→economy via regional scarcity gate M-30	the KEEP's exact ask (confirm GTMOGS entries) is shipped reality.	kubejs/data/pcmc/gtmogs/ore_vein/tin.json + all three native ironworks biome-modifiers overridden neoforge:none
S14	create_jetpack	mark-done	M-06	NONE		create_jetpack:netherite_jetpack→create:sequenced_assembly (M-06, times=7 ACCEPT)	sequenced_assembly-as-specified needed a transitional item the mod lacks (digest: 4 items, no incomplete_*); the Crafter build is the real equivalent.	spine/40-gates.js T4 mechanical_crafting (electron_tube + precision_mechanism + advanced_energiser + 4 netherite + key),
S14	create_jetpack	mark-done	M-15	NONE		create_jetpack:netherite_jetpack→boss-drop gating (M-15, times=5+4+1+1 ACCEPT)	shipped v0.7.0, playtest-pending per file header; nothing left to author.	spine/40-gates.js keys the grid on cataclysm:cursium_ingot (Maledictus); no smithing bypass remains
S14	create_jetpack	mark-done	M-05	NONE		NEW create_jetpack:jetpack → via create:mechanical_crafting + createaddition:capacitor → e	beyond-slate shipped reality superseding the old M-05 CUT ("recipe-only tweak") — don't re-propose jetpack weaves.	spine/57-jetpacks.js (re-author + create_sa's four jetpacks disabled, #87); spine/00-tiers.js lists create_jetpack:jetpa
S04	create_new_age	mark-done	M-30	AMBIG	create_new_age:energising (method)→magic	create_new_age:thorium_ore (regional, 2 biome-modifiers)→economy	default worldgen disabled, GTMOGS vein is sole source; sporadic tfmg:lithium co-located.	kubejs/data/pcmc/gtmogs/ore_vein/thorium.json (biomes #pcmc:vein_thorium) + kubejs/data/create_new_age/neoforge/biome_mo
S01	create_sa	mark-done	M-17	NONE		brass_exoskeleton_chestplate → create via FE charging	as-ratified charging was unauthorable (gear holds no FE, burns engine fuel); the electric seam landed as build-cost instead.	spine/56-weave-stuff-additions.js — brass_exoskeleton mechanical_crafting requires 2x createaddition:capacitor (the earl
S01	create_sa	mark-done	M-06	NONE		NEW create_sa engines + power gear → via tier-anchored assembly seams → create/tfmg/aerona	beyond-slate shipped reality; future sweeps confirm, don't re-propose engine/jetpack/drone weaves.	spine/56 (heat_engine on createlowheated:basic_burner, steam_engine on c:ingots/steel, drill→createoreexcavation:drill, 
S05	create_train_parts	mark-done	M-20	NONE		create_train_parts brass/copper sliding windows + train steps → create:pressing (pressed s	native equivalent is stronger than the proposed sheets (casings sit above sheets in processing depth); no kubejs needed — close the row as natively satisfied, d	0.4.0 jar's STOCK recipes already gate every window/step/slide on create casings (brass_casing/copper_casing/andesite_ca
P1	createaddition	mark-done	M-24	AMBIG	createaddition:charging → irons_spellbooks FE-chargeable magic gear	createaddition:rolling → aeronautics wiring (copper/electrum wire as control-surface harne	shipped as sheets/motors rather than wire — same edge, satisfied.	spine/54-weave-aeronautics.js — electrum_sheet into aeroworks:joystick, electric_motor into stepper_servo; smart_propell
P1	createaddition	mark-done	M-29	AMBIG	createaddition:charging → irons_spellbooks FE-chargeable magic gear	NEW createaddition:capacitor/electric_motor/copper_wire → via create:mechanical_crafting →	beyond-slate shipped reality; recorded so future sweeps confirm instead of re-proposing.	spine/51-weave-additions-tfmg.js (all T3 machines need Additions parts; capacitor = the T3 token w/ overcharged_iron) + 
S15	createblockchain	mark-done	M-08	AMBIG	createblockchain:mining_core (geode worldgen consumable) → M-30 regional-scarcity gate on 	createblockchain:currency_miner FE intake → Create-Addition FE sourced from scarce regiona	the row's "document the config chain" intent is delivered via cost levers. [BALANCE-PENDING: 10x FE + steep global ramp may dead-end the miner vs produce-and-tr	config/createblockchain-common.toml ships the design pass: baseEnergyPerCoin 830k→8.3M (~10x), difficultyInterval 110→25
S06	createimmersivetacz	mark-done	M-12	AMBIG	createimmersivetacz:twelve_gauge_shell / rounds → economy (M-26 consumption sink)	createimmersivetacz:nitropowder_bucket → create (M-12 via tfmg:vat_machine_recipe)	shipped equivalent with CBC sourcing (cross-weapons-industry seam); mixer→tfmg-vat swap adds no loop motion; chain playtest-settled (24-artillery-seams.js).	kubejs/data/createimmersivetacz/recipe/nitropowder_fluid.json (create:mixing of createbigcannons:nitropowder) + primer_f
S10	createlowheated	mark-done	M-26	NONE		createlowheated:basic_burner solid-fuel consumption → consumption sink (fuel demand)	the "verify required not optional" ask is answered by the shipped ladder. [BALANCE-PENDING: fuel burn rate vs T2 throughput]	native passive-heat removal confirmed and built around in spine/20-power-ladder.js (lowheated→heated→superheated ladder;
S10	createlowheated	mark-done	M-05	NONE		createlowheated lowheated heat-tier → woven Create basin recipes require managed heat	residual is a tier-tuning question — spine doc says don't hand recipes "heated" where "lowheated" serves; retune shipped magic steps per ladder guidance. [BALAN	companion delivery shipped exactly (spine/20-power-ladder.js re-authors basic_burner from #c:plates/iron + #c:netherrack
S19	domum_ornamentum	mark-done	M-04	NONE		domum_ornamentum Create-processed-stone→create (architects_cutter)	native combinatorial input; nothing to author; strike from the PLUMB batch backlog.	dossier — architects_cutter natively consumes arbitrary full blocks incl. modded (Create casings/stone work today); 35-w
S19	domum_ornamentum	mark-done	M-28	NONE		domum_ornamentum colony-builder-demands-DO-blocks	native demand gate; authoring hut-requirement config would duplicate what blueprints already do.	dossier — DO is MineColonies' decoration backbone; default blueprints request DO blocks natively, builder demand live wi
S04	drones	mark-done	M-05	NONE		drones:iron_rotor→create (M-05)	shipped as a shaped Create-parts recipe rather than mechanical_crafting; lighter than slate delivery but the gate is real and tier-appropriate.	kubejs/server_scripts/recipes/90-drones.js — iron_rotor = create:iron_sheet + copper + create:shaft (frame/controller/dr
S04	drones	mark-done	M-06	NONE		drones:ion_thruster→create (M-06)	real equivalent shipped (marquee parts, no SA chain); optional v0.9.0 depth upgrade to sequenced_assembly remains valid but not required for the loop.	90-drones.js — ion_thruster = create:propeller + 2x electron_tube + createaddition:electric_motor
S01	expandeddelight	mark-done	M-30	fuzzy	expandeddelight:cheese_wheel (aged) → economy	expandeddelight:salt_ore regional spawn → economy	exactly the ratified ask, already real; only the M-03 crush remains on salt.	kubejs/data/pcmc/gtmogs/ore_vein/salt.json (weight 25, biomes #pcmc:vein_salt = ocean+beach) + salt as companion in lith
S07	farmersdelight	mark-done	M-12	AMBIG	farmersdelight seasonal crops (cabbage/tomato/rice/onion) → survival (M-16 seasonal reagen	farmersdelight crops → create (M-12 milling/cutting → flour, meal, paste)	core exists natively; "full crop range" extension is gold-plating (vegetables cut, not mill) — runtime-dump native coverage before adding anything.	digest made-by: FD jar natively ships create:milling/mixing/filling inbound; 81-decoration-metal.js adds create:iron_she
P1	galosphere	mark-done	M-07	fuzzy	galosphere palladium ore→create M-03	galosphere:allurite_shard / lumiere_shard→magic M-07	reserved role intact and growing; nothing displaced.	recipes/33-magic-web-spine.js attunement pedestals (allurite/lumiere) + 80-securitycraft.js laser_block consumes allurit
S08	gamediscs	mark-done	M-05	NONE		console components → via Create parts (precision_mechanism / electron_tube / createadditio	loot file itself flags rates as a starting preset. [BALANCE-PENDING: disc drop chance vs modded-structure chest density]	99-gamediscs.js re-shapes all 5 components + console; 40-gamediscs-loot.js seeds discs at 6/3/1.5% across all chest tabl
S01	hpm	mark-done	M-05	motif-exact	hpm:largehull / largemast → create (M-05/M-23 via create:mechanical_crafting)	hpm:hand_cannon → create (M-05 via create:pressing + tacz:gun_smith_table_crafting)	real equivalent, deliberately shallower than ratified — file header keeps flintlocks "not TaCZ-deep"; gun_smith_table half dropped by design.	recipes/95-swashbucklers.js — hand_cannon + hand_mortar re-shaped onto create:iron_sheet + andesite_alloy
S06	immersive_armors	mark-done	M-05	fuzzy	immersive_armors finished armor sets (Heavy/Divine/Steampunk) → economy (emergent trade by	immersive_armors Heavy / Steampunk sets → Create (create:pressing + create:mechanical_craf	shipped exceeds slate — Warrior set also routed; organic sets deliberately left vanilla (coherence over forced grind).	kubejs/server_scripts/recipes/10-immersive-armors.js — Heavy=iron_sheet+iron_block; Steampunk=brass_sheet+precision_mech
S08	immersive_paintings	mark-done	M-12	NONE		painting/graffiti (+glow variants) → via create:deploying / create:mixing → Create	no further weave wanted; uploads stay locked server-side (#94).	23-immersive-paintings.js (4 raw-JSON recipes; tag-ingredient workaround documented; playtest tracked on #234)
P2	irons_spellbooks	mark-done	M-01	fuzzy	irons_spellbooks apothecarist-mob-drops→magic (ritual/transmutation)	irons_spellbooks arcane_essence→magic (arcane-currency bond)	exactly as the ledger reserved it; nothing left to author.	33-magic-web-spine.js — source→arcane_essence (imbuement + allurite) and arcane_essence→source (apparatus + lumiere), an
P2	irons_spellbooks	mark-done	M-03	AMBIG	irons_spellbooks apothecarist-mob-drops→magic (ritual/transmutation)	irons_spellbooks mithril_ore→create (ore-doubling)	shipped chose raw-doubling + XP over the row's pyrium-dust byproduct — equivalent in function; close as done.	36-magic-web-create.js — both ore variants crush to 2x raw_mithril + xp(0.25); blasting chain untouched
P2	irons_spellbooks	mark-done	M-26	AMBIG	irons_spellbooks apothecarist-mob-drops→magic (ritual/transmutation)	irons_spellbooks scrolls→survival (consumption sink)	nothing to author; counts as the magic economy's demand-renewal edge as-is.	native mechanic (one-shot consumable casts, dossier); the row's own delivery field says "native mechanic"
S01	kobolds	mark-done		AMBIG	kobold combat drops (skulls, from raiding Dens) → economy (combat specialist → magic user 	NEW kobold entity loot → via kubejs loot-table override → gaia scavenger drops	beyond-slate shipped reality, currently loop-inert flavor; gains motion only when gaia's drop-only pile gets sinks — route there, don't double-author.	kubejs/data/kobolds/loot_table/entities/kobold.json (grimoireofgaia:fur 0-2, c:nuggets/iron 0-3, rare box_iron/bag_arrow
P1	mcwfences	mark-done		fuzzy	mcwfences metal fence variants → create:crushing (M-04 deco-recycle)	NEW mcwfences metal fences ← create:iron/copper/golden_sheet → via replaceInput	inbound Create tie shipped beyond the slate; complements, not replaces, the M-04 crush.	recipes/81-decoration-metal.js routes all mcwfences metal ingots to pressed sheets
S02	mcwroofs	mark-done		AMBIG	mcwroofs stone/brick/andesite/deepslate roof variants → create	NEW mcwroofs metal-ingot inputs → via event.replaceInput → create pressed sheets	slate never recorded this; mcwroofs already holds a shipped second-system tie — record in ledger.	recipes/81-decoration-metal.js:24 routes mcwroofs (with mcwdoors/mcwwindows/etc.) iron/copper/gold ingots → create:*_she
S06	mffs	mark-done	M-05	AMBIG	mffs projector delivery → economy (colony Fortress research gate + service-for-hire)	mffs:projector / interdiction_matrix → create (native-method gating + sequenced-assembly)	the pack's reference Create weave; the slate row itself marked it already-authored.	kubejs/server_scripts/recipes/60-mffs.js — focus_matrix gated on create:electron_tube; projector/interdiction_matrix seq
S14	moblassos	mark-done	M-28	AMBIG	hostile_lasso (weakened monster capture) → magic via occultism spirit delivery	emerald_lasso (villager capture)→economy via MineColonies colony seeding	recipe in place and better-themed than asked; the colony-seeding behavior is live emergent value.	recipes/22-mob-lassos.js re-authors emerald_lasso (golden_lasso + c:gems/emerald + c:ingots/brass — the trade metal); th
S14	moblassos	mark-done	M-37	AMBIG	hostile_lasso (weakened monster capture) → magic via occultism spirit delivery	diamond_lasso→MineColonies research gate ("capture anything" unlocked by colony University	the DEFER's intent ("too powerful to be materials-only") landed as a boss-key gate — clear the M-37 variant from playtest routing.	22-mob-lassos.js diamond_lasso consumes any #pcmc:boss_keys drop (the flat roster's first consumer; 05-tags.js comment "
S14	moblassos	mark-done	M-05	AMBIG	hostile_lasso (weakened monster capture) → magic via occultism spirit delivery	NEW moblassos lasso family → via create:electron_tube/precision_mechanism re-craft + boss-	beyond-slate shipped reality superseding the slate's M-05 CUT reasoning — future sweeps confirm, don't re-propose lasso weaves.	22-mob-lassos.js (#171): golden=Create electronics, hostile=cataclysm:monstrous_horn, aqua/emerald branch off golden; It
S02	modulargolems	mark-done	M-15	NONE		boss-drop metals (Cataclysm cursium / Ice&Fire dragonsteel) → modulargolems:golem_assemble	native equivalent — a cursium golem body already costs cursium by construction; authoring would duplicate the mod's own mechanic.	native part-casting already consumes the boss metal (dossier: dragonsteel/cursium bodies, "already pulls modded boss-tie
S02	modulargolems	mark-done	M-10	NONE		golem-core upgrade slot → ars_nouveau:imbuement (source_gem / arcane core) (M-10)	shipped as alternative Ars route to empty_upgrade, not a hard capability gate; v0.11.0 may still deepen top-tier arcane golems.	recipes/35-magic-web-mobs.js:31 `imbue('modulargolems:empty_upgrade','ars_nouveau:source_gem',400)` — Ars path into the 
S14	mowziesmobs	mark-done	M-15	motif-exact	earthrend_gauntlet (Wroughtnaut drop)→create via boss-key gate	ice_crystal (Frostmaw drop)→create via boss-key sequenced_assembly gate	delivery landed shaped+tag rather than sequenced_assembly/cold-tier — real equivalent; the sculptor_staff alternative satisfies no-chokepoint.	spine/40-gates.js T3 reinforced_energiser keyed on #pcmc:mowzies_mid (05-tags.js: ice_crystal + sculptor_staff); ice_cry
S16	netmusic	mark-done	M-07	NONE		(v0.7.0) netmusic:computer/cd_burner ← create:framed_glass/electron_tube + create_new_age:	shipped reality outran the slate — the ratified LEAVE predates this tie.	kubejs/server_scripts/recipes/97-netmusic.js; WEAVE-LEDGER M-07 row cites file `97` as an established seed (allurite use
P1	numismatics	mark-done	M-05	AMBIG	vendor block→economy (service-for-hire storefronts, M-33)	vendor/depositor blocks→create (native-method gating) M-05	satisfied natively plus the lock; do NOT re-gate via mechanical_crafting — the slate's own trading_floor M-05 depth logic.	recipe digest — vendor = brass_casing+electron_tube+framed_glass, brass_depositor adds sturdy_sheet, andesite_depositor 
P1	occultism	mark-done	M-03	fuzzy	occultism:silver_ingot (c:ingots/silver) → economy	occultism:silver_ingot / iesnium_ore → create M-03 (iesnium half)	iesnium half done, additive as designed.	recipes/36-magic-web-create.js crushes iesnium_ore → 2x iesnium_dust + xp nugget; dust smelts back natively
P1	occultism	mark-done	M-11	AMBIG	occultism:spirit_trade (summoned trader) → economy	foreign mob/boss drops → occultism:spirit_fire M-11	partial roster; cataclysm/deeperdarker drop-only piles still unrouted — extend with the same pattern.	recipes/34-magic-web-occult.js + 35-magic-web-mobs.js (born_in_chaos dusts/spirits, grimoireofgaia organs, mowzies folia
P1	occultism	mark-done	M-30	AMBIG	occultism:silver_ingot (c:ingots/silver) → economy	silver_ingot → regional-scarcity gate M-30	the ratify-note's exact ask, already real.	kubejs/data/pcmc/gtmogs/ore_vein/silver.json (#pcmc:vein_silver) + native gen no-op'd + silver-keyed input shipped (52-w
S05	rechiseled	mark-done	M-04	NONE		rechiseled decoration blocks → create M-04 (PLUMB)	PLUMB row is a no-op for authoring; the companion mod IS the plumbing — record DONE so the batch doesn't re-author it.	mechanism is native, not kubejs — rechiseledcreate (mods/rechiseled-create.pw.toml) ships the Mechanical Chisel that run
S19	s_a_b	mark-done	M-23	NONE		s_a_b steel plates→aeronautics M-23	M-23 economics live natively — s_a_b IS the hull material and already costs TFMG heavy plates; aeronautics-side injection is unauthorable.	native (digest) — every steel-block tier consumes tfmg:heavy_plate; aeronautics ships physics-assemble from placed world
P1	securitycraft	mark-done	M-05	AMBIG	securitycraft base-defense-installation→economy (service-for-hire)	securitycraft Universal-Block-Reinforcer→create (native-method gating) M-05	keystone strategy beats per-item gating; also threads M-07 catalyst demand.	recipes/80-securitycraft.js — laser_block (allurite shard focused through a rose-quartz lens) is the keystone the 3-tier
P1	securitycraft	mark-done	M-05	AMBIG	securitycraft base-defense-installation→economy (service-for-hire)	securitycraft sentry→create (sentry requires CBC/Create components) M-05	real equivalent shipped; the CBC-parts flavor stays optional — don't double-gate.	80-securitycraft.js portable_radar (electron_tube + createaddition copper_wire + iron sheets) feeds sentry/ims/sonic sys
S16	smokeleafindustries	mark-done	M-17	AMBIG	smokeleafindustries refined extracts / gummies → economy M-28	smokeleafindustries generator FE output → create M-17	shipped reality inverted the slate: the "redundant" M-05 gate shipped as THE anchor; M-17 bridge works by nature. Nothing left to author.	kubejs/server_scripts/recipes/93-smokeleaf.js gates ALL smokeleaf machines on create:precision_mechanism via the hemp_co
S01	tacz	mark-done	M-05	AMBIG	tacz guns/ammo → economy (combat-route supply / emergent trade)	tacz:gun_smith_table_crafting inputs → create (native-method gating, M-05)	shipped STRONGER than ratified — method replaced, not gated; the "basic guns may stay vanilla" leniency dropped with it.	remove-default-tacz-guns.js deletes the entire tacz:gun_smith_table_crafting type + the four bench blocks (#187); all gu
S01	tacz	mark-done	M-06	AMBIG	tacz guns/ammo → economy (combat-route supply / emergent trade)	tacz high-tier guns → create:sequenced_assembly (M-06 keystone)	equivalent depth, different shape; heavies gate on the artillery specialist's part, not boss keys — the remove-script comment claiming #pcmc:boss_keys/capacitor	depth shipped as component chains into mechanical_crafting (sniper = gun_barrel+firing_mechanism+gun_trigger+createbigca
S01	tacz	mark-done	M-26	fuzzy	tacz guns/ammo → economy (combat-route supply / emergent trade)	tacz:ammo (consumable) → survival + economy (continuous consumption sink, M-26)	nothing left to author. [BALANCE-PENDING: per-magazine cost vs PvPvE ammo uptake]	sink is native; the "metals via Create" pairing shipped — casing fills are sequenced_assembly (primer deploy + createimm
S19	terralith	mark-done	M-30	AMBIG	terralith Moonlight Grove / lunar biomes → magic M-22 (lunar/celestial reagent gate)	terralith biome c:tags (65) → GTMOGS regional ore-gen M-30	ratify-note's "blocked-on-worldgen-config" is cleared — the v0.7.0 ore map shipped exactly this keying.	kubejs/data/pcmc/tags/worldgen/biome/vein_*.json (22 veins) key terralith biomes, e.g. vein_silver → terralith:rocky_mou
P1	tfmg	mark-done	M-24	fuzzy	tfmg fuels→aeronautics M-13	tfmg:combustion_engine→aeronautics M-24	residual work is playtest balance, not recipes.	native ship-mounting makes TFMG engines the powerplant; spine/51-weave-additions-tfmg.js deepened every engine (mechanic
P1	tfmg	mark-done	M-29	fuzzy	tfmg fuels→aeronautics M-13	tfmg:plastic→create M-29	the magic-adjacent variant stays optional future work; row satisfied.	spine/52-weave-tfmg-newage.js reactor_heat_vent requires tfmg:plastic_sheet (etched/coated circuits gate the other New A
P1	tfmg	mark-done	M-32	AMBIG	tfmg fuels→aeronautics M-13	tfmg ore byproducts (sulfur/saltpeter/coke)→create M-32	chain complete end-to-end; coke→blast-furnace fuel is native too.	native tfmg:mixing/gunpowder (charcoal+nitrate+sulfur) → createimmersivetacz:gunpowder_fluid (create:mixing) → recipes/2
P1	tfmg	mark-done	M-30	fuzzy	tfmg fuels→aeronautics M-13	tfmg regional ores→economy M-30	crude-oil regionality is TFMG-native deposit gen — confirm its spread at playtest.	kubejs/data/pcmc/gtmogs/ore_vein/{bauxite,lithium}.json biome-locked (#pcmc:vein_*); native tfmg biome-modifiers overrid
P2	aeronautics	rescope	M-10	motif-exact	levitite_blend crystallization→magic (arcane catalyst gate)	levitite_blend crystallization→magic (arcane catalyst gate)	re-scope delivery to the JSON step: add allurite/source catalyst to the create:mixing blend recipe (jar-confirmed). Same loop edge, authorable today.	dossier status — blend→levitite crystallization is CODE, not JSON ("STILL code-only"); a KubeJS catalyst-adjacent hook h
S03	alcohol_industry	rescope	M-28	motif-exact	alcohol_industry→economy	alcohol_industry→economy	deliver via recruitment-item config + food-tag servability so cooks serve spirits; verify exact config key in-game — no minecolonies config shipped yet.	MineColonies has no "building upkeep consumes item" mechanic to config; its real demand hooks are the tavern visitor-rec
S03	alexsmobs	rescope	M-11	motif-exact	alexsmobs exotic drops (ambergris / ender_residue / void_worm parts) → magic	alexsmobs exotic drops (ambergris / ender_residue / void_worm parts) → magic	narrow inputs to ender_residue + void_worm_eye/mandible; spirit_fire delivery unchanged (shipped 34/35 schema); ambergris stays M-10's, beak M-15's.	row text double-spends ambergris (M-10's — alexsmobs' own CUT row calls this a reagent-ownership conflict) and risks the
P2	ars_nouveau	rescope	M-22	motif-exact	Wilden Guardian summon timing → magic (celestial gate)	Wilden Guardian summon timing → magic (celestial gate)	mechanism-uncertain — re-scope to gating the ritual TABLET recipe on a moon-event-obtained reagent, or prove the event hook before authoring. Enhanced Celestial	rituals are code-driven, not recipe-authorable — same reason 34-magic-web-occult.js explicitly skipped occultism:ritual;
S07	astikorcartsredux	rescope	M-28	motif-exact	astikorcartsredux:oak_seed_drill + colony Farmer hut → economy (M-28)	astikorcartsredux:oak_seed_drill + colony Farmer hut → economy (M-28)	rescope delivery to the Farmer hut block recipe consuming a seed_drill (quarry pattern); "tool upgrade" as written is unauthorable.	MineColonies farmers use hoe items; no API/config surface makes a cart entity a hut tool; 98-minecolonies.js shows hut b
S11	beachparty	rescope	M-12	motif-exact	beachparty coconut/tropical fruit → create (M-12)	beachparty coconut/tropical fruit → create (M-12)	rescope to create:milling beachparty:coconut → 2x coconut_open (existing ids; mechanizes native throw-to-open for bulk), upstream of the M-26 sink.	no coconut cream/flake id exists in ANY digest (only ecologics+beachparty have coconut ids); recipe digest: palm_bar_mix
S09	betterdungeons	rescope	M-08	motif-exact	betterdungeons loot tables→economy	betterdungeons loot tables→economy	re-deliver as seeding the mint's INPUT (scarce coin-metal/valuables) into deep chests — danger still feeds the economy, medium stays player-struck.	hard rule "economy link counts only as demand-gating"; M-14 bounty-coin and M-21 trade-coin were CUT as "currency from o
S19	bettermineshafts	rescope	M-08	motif-exact	mineshaft chest loot → loot-seed (numismatics coin)	mineshaft chest loot → loot-seed (numismatics coin)	coin-in-chest = the cut-M-14 faucet class, bypasses the mint specialist; rescope to goods-seed (LootJS rider, cf. 40-gamediscs-loot.js) or drop — GTMOGS veins a	WEAVE-LEDGER M-08 reframe (#163/#240): coins are player-minted, "no NPC coin faucets" — M-14/M-21 were cut for exactly t
P2	born_in_chaos_v1	rescope	M-30	motif-exact	born_in_chaos_v1:dark_metal → regional scarcity gate (M-30)	born_in_chaos_v1:dark_metal → regional scarcity gate (M-30)	premise fix — verify whether deposit worldgen exists at all before authoring placement config; the lock is likely already native.	dossier — dark metal is mob-drop sourced (Chaos Knight ~9%, Missionary ~16%); the mod's 50 biome modifiers already regio
S19	cataclysm	rescope	M-11	motif-exact	cataclysm:witherite_ingot / cursium_ingot (boss drops)→magic	cataclysm:witherite_ingot / cursium_ingot (boss drops)→magic	narrow M-11 input to witherite_ingot; double-routing cursium/ignitium would dilute their shipped T4 gates per the slate's own one-role-per-metal logic.	40-gates.js spent cursium (T4 jetpack gate) and ignitium (T4 reactor); witherite remains unspent — only generic #pcmc:bo
S19	cataclysm	rescope	M-12	motif-exact	cataclysm:amethyst_crab_meat (Blessed)→survival	cataclysm:amethyst_crab_meat (Blessed)→survival	cook the RAW crab meat into the prestige dish; cooking the Blessed variant would bank fight-immunity outside the dungeon. [BALANCE-PENDING: dish stats vs altar 	dossier — amethyst_bless is a one-way Sunken-City altar ceremony purpose-built for the Leviathan fight; no shipped kubej
P1	cbc_at	rescope	M-15	motif-exact	cbc_at heavy-autocannon / rocket-pod (endgame tier)→create	cbc_at heavy-autocannon / rocket-pod (endgame tier)→create M-15	this exact tier carries the CBC-5.11.3 pin crash history (CLAUDE.md) — playtest hard when authored.	ha_munition_assembly / rocket_assembly are PER-ROUND munition recipes (digest); boss-gating them taxes every shot instea
S03	charta	rescope	M-12	motif-exact	charta:empty_wine_glass / empty_beer_glass → survival	charta:empty_wine_glass / empty_beer_glass → survival	re-source the wine half vinery→create_winery; beer via create:filling or extradelight:bottle_fluid; tequila→cactus_wine_glass mapping available.	vinery was REMOVED in the v0.7.0 thunderdome (slate: its KEEP ideas "seed create_winery"); create_winery digest ships wi
S11	companions	rescope	M-15	motif-exact	companions:relic_gold → create (M-15 boss-key gate)	companions:relic_gold → create (M-15 boss-key gate)	deliver as a SPINE_GATES row on a mid-tier machine slot, not bespoke sequenced-assembly; relic_gold is the Pontiff's reserved per-boss key (reagent table).	shipped gate idiom is spine/40-gates.js SPINE_GATES rows (shaped/mechanical_crafting boss keys: cataclysm ingots, #pcmc:
