mod	decision	link	motif	milestone	detail	ratified	ratify_note
createbigcannons	MERGE	createbigcannons advanced-munitions M-37 (times_suggested=1)	M-37		into: KEEP munitions M-34 | reason: research-gate on advanced shells is a delivery variant of the same munitions economy anchor; absorbed	MERGE	
createbigcannons	MERGE	createbigcannons colony-ordnance M-37 (times_suggested=1)	M-37		into: KEEP munitions M-34 | reason: near-duplicate of above; same absorption	MERGE	
createbigcannons	MERGE	createbigcannons nethersteel M-19 / M-10 (times_suggested=1)	M-19		into: KEEP nethersteel→magic M-10 | reason: occultism:spirit_fire / haunting step on nethersteel is a variant delivery for the same magic cross-route; absorbed	MERGE	
createblockchain	KEEP	createblockchain:currency_miner FE intake → Create-Addition FE sourced from scarce regional metal	M-08	v0.13.0	motif M-08 | delivery: config (ensure the currency_miner's FE supply traces through a Create-Addition generator running on a scarce regionally-processed metal — e.g. zinc/copper from a GTMOGS-region vein — so minted coins trace back to regional scarcity; no new recipe needed, document the config chain) | milestone: v0.9.0 | why "of course": coins don't come from nothing — the currency miner runs on FE from a real Create electric plant burning processed scarce metal; controlling the FE plant means controlling the money supply. Represents the 4-suggestion opus-corroborated ACCEPT cluster (M-08 FE-tracing rows).	KEEP	
createblockchain	KEEP	createblockchain:mining_core (geode worldgen consumable) → M-30 regional-scarcity gate on coin supply	M-30	v0.13.0	motif M-30 | delivery: config (GTMOGS / worldgen config — geode spawn rate is the regional scarcity valve; coins are as common as geodes; configure geode placement as biome-or-region-specific) | milestone: v0.9.0 | why "of course": Mining Cores only spawn in geodes spread every 30+ chunks; controlling a geode vein controls the mint; regional coin scarcity emerges from spatial resource scarcity. 7-suggestion ACCEPT.	KEEP	
createblockchain	MERGE	createblockchain FE → coin minting rows (M-08 / M-29 FE-chain variants ×5)	M-08		into: FE-tracing M-08 KEEP | reason: all describe the same FE-sourced-from-scarce-metal → coin chain; prefer the opus-corroborated representative.	MERGE	
createblockchain	MERGE	createblockchain:mining_core geode M-30 rows (×3 lower-suggestion)	M-30		into: M-30 KEEP | reason: all state the geode spawn rate is the scarcity valve; dedupe.	MERGE	
createblockchain	MERGE	createblockchain:piggy_bank loot M-08 rows (×3)	M-08		into: CUT below | reason: fold; piggy-bank coin seeding in chests is an NPC-faucet-adjacent action (coins from outside the player economy); cut.	MERGE	
createblockchain	MERGE	createblockchain FE → coin minting M-29 (cross-route dependency) rows (×2)	M-29		into: M-08 KEEP | reason: the cross-route dependency (you need a Create FE plant to mint coins) is already captured in the M-08 KEEP; the M-29 elaboration is the same connection.	MERGE	
createblockchain	CUT	createblockchain:piggy_bank loot-seed (M-08/M-34)	M-08		motif M-08/M-34 | reason: REJECT (5R/2A); piggy-bank chest loot delivers coins found by explorers = an NPC coin faucet (coins not minted by a player); contradicts the player-run economy ruling.	CUT	
createblockchain	CUT	createblockchain:mining_core → create:crushing to extract core (M-03)	M-03		motif M-03 | reason: mixed (5A/5R); the 10-suggestion row is near-even split; the core's primary role is as the scarcity consumable (M-30 KEEP) — adding a Create-processing step to extract it introduces depth on a rate-limiter that's already the scarcity valve; the M-30 KEEP captures the intent without a mandatory crush step.	CUT	
createblockchain	CUT	createblockchain:mining_core → occultism:spirit_fire / M-11	M-11		motif M-11 | reason: REJECT; the mining_core is already the scarcity throttle; repurposing it as a magic reagent risks losing the coin gate.	CUT	
createblockchain	CUT	createblockchain:mining_core → occultism:miner spirit-logistics (M-18)	M-18		motif M-18 | reason: REJECT (opus); spirit-mining the rate-limiter undoes the geode gate; magic should not be a bypass to the coin scarcity valve.	CUT	
createblockchain	CUT	createblockchain:cryotheum_coolant → create:mixing/TFMG (M-05/M-12/M-32/M-29)	M-05		motif M-05/M-12/M-32/M-29 | reason: REJECT; cryotheum is a proprietary operational consumable for the miner; routing it through Create/TFMG chemistry has no thematic grounding and adds depth to a secondary operational input.	CUT	
createblockchain	CUT	createblockchain:currency_miner → create:sequenced_assembly (M-06)	M-06		motif M-06 | reason: 1-suggestion; the miner is a single-machine purchase, not a multi-stage endgame keystone; M-06 depth is disproportionate.	CUT	
createblockchain	CUT	createblockchain:mining_core → M-07 attunement catalyst	M-07		motif M-07 | reason: 1-suggestion; galosphere already owns the M-07 slot; the mining_core is the M-30 scarcity valve, not a magic catalyst.	CUT	
createblockchain	CUT	createblockchain:mining_core → M-16/M-22 seasonal/lunar rows	M-16		motif M-16/M-22 | reason: REJECT; biome-modifier worldgen has no time-based config hook; feasibility too low.	CUT	
createblockchain	CUT	createblockchain FE → createnuclear / M-32 nuclear-powered mint	M-32		motif M-32 | reason: 1-suggestion; interesting but too speculative for a Phase-3 weave; no nuclear reactor mod confirmed in pack.	CUT	
createfisheryindustry	KEEP	seafood (chowder/soups/steaks)→economy via MineColonies colony requests	M-28	v0.11.0	motif M-28 | delivery: config — MineColonies Cook/Restaurant hut request table seeded with createfisheryindustry seafood items (seafood_chowder, cooked_lobster, mussel_soup) | milestone: v0.9.0 | why "of course": the colony kitchen always needs protein; a fishing specialist supplying the colony becomes the settlement's food chain — no colony can afford to keep its own fishery easily	KEEP	
createfisheryindustry	KEEP	seafood dishes→survival (protein diet demand, consumption sink)	M-26	v0.9.0	motif M-26 | delivery: confirm createfisheryindustry seafood is tagged in Diet-AppleSkin protein group (or KubeJS tag if missing) | milestone: v0.13.0 | why "of course": high-saturation seafood dishes are spent against hunger and diet-variety pressure; the fishery has a permanent consumption sink	KEEP	
createfisheryindustry	KEEP	bait_trap catch→survival (seasonal bait, seasonal rare catch)	M-16	v0.9.0	motif M-16 | delivery: config — seed seasonal bait types into the bait_trap catch table (spring: bloodworm, summer: cicada, winter: ice-grub) so rare shellfish/lobster only appear in season-appropriate windows; requires Serene Seasons integration check | milestone: v0.13.0 | why "of course": a fishing operation that runs year-round but peaks in season forces a stockpile-or-trade decision; the seasonal catch table is already a config surface the mod exposes	KEEP	
createfisheryindustry	CUT	fish_skin→ars_nouveau:imbuement (magic reagent)	M-10		motif M-10 | reason: tone clash — mundane leather-substitute has no arcane resonance; REJECT dominant (5 rows, mix 3 ACCEPT but consistently flagged tone-mismatch in hooks)	CUT	
createfisheryindustry	CUT	fish_skin→occultism:spirit_fire (M-11 transmutation)	M-11		motif M-11 | reason: crustaceans/fish hide as occult reagents have no lore grounding; REJECT dominant; already CUT in comparable tone-clash rows	CUT	
createfisheryindustry	CUT	harpoon→create:sequenced_assembly (deeper chain)	M-06		motif M-06 | reason: harpoon is already a Create-anchored item (inbound weaves present); re-layering is redundant; REJECT dominant	CUT	
createfisheryindustry	CUT	fish_skin→create:milling or farmersdelight:cutting (second processing step)	M-12		motif M-12 | reason: fish_skin is already the output of the peeling step; a second Create milling step is redundant housekeeping; REJECT dominant (10× top row, 5 REJECTs)	CUT	
createfisheryindustry	CUT	fish_skin→aeronautics:upholstery/soft-goods M-23	M-23		motif M-23 | reason: fish_skin as airship balloon fabric is a stretch; M-23 is for load-bearing structural metal, not soft goods; REJECT dominant	CUT	
createfisheryindustry	CUT	copper_diving_leggings→create:sequenced_assembly or aeronautics M-24	M-24		motif M-24 | reason: diving leggings are underwater survival gear, not a propulsion/control component; forced drivetrain link; REJECT dominant	CUT	
createfisheryindustry	CUT	copper_diving_leggings→create_new_age:energising M-17	M-17		motif M-17 | reason: M-17 is for charging tools/foci/reagents; diving leggings are passive armor, not charge-driven; REJECT	CUT	
createfisheryindustry	CUT	bait_trap→create:sequenced_assembly (M-06 endgame)	M-06		motif M-06 | reason: bait_trap is mid-tier; M-06 explicitly for endgame flagships; depth guardrail; REJECT	CUT	
createfisheryindustry	CUT	fish_skin→cold_sweat insulation (fish_skin panels as insulating lining)	M-12		motif M-12/M-29 | reason: times_suggested=1; no confirmed cold_sweat config surface for fish_skin; speculative; thin ACCEPT	CUT	
createfisheryindustry	CUT	raw fish→ars_nouveau:vitalic or agronomic sourcelink	M-02		motif M-02 | reason: sourcelinks consume mob events, not fish items directly; routing raw fish into Ars Source requires an imbuement step that isn't the sourcelink; mis-method; REJECT	CUT	
createfisheryindustry	CUT	seafood→create_cheese:maturing or farmersdelight double-processing	M-12		motif M-12 | reason: prepared dishes are finished food; routing through another processing method is gilding; REJECT dominant (opus row)	CUT	
createfisheryindustry	CUT	harpoon_gun→aeronautics ship-mounted use M-24	M-24		motif M-24 | reason: harpoon is a handheld weapon that happens to use backtank air; mounting on ship is player-emergent, not a recipe weave; REJECT	CUT	
createfisheryindustry	CUT	mussels/lobster→ocean biome scarcity M-30	M-30		motif M-30 | reason: ocean-biome dependence is normal fishing mechanics, not GTMOGS-style regional ore-gen; M-30 requires the GTMOGS gate; mis-motif; REJECT	CUT	
createfisheryindustry	CUT	fish_skin→bulk aeronautics transport M-31	M-31		motif M-31 | reason: fish_skin is not demonstrably heavy/perishable enough to require aeronautics at scale; speculative; times_suggested=1	CUT	
createfisheryindustry	CUT	bait_trap→M-29 cross-route (magic reagent bait)	M-29		motif M-29 | reason: no existing bait_trap method accepts a magic reagent input; would require inventing a mechanic; REJECT	CUT	
createfisheryindustry	CUT	copper_diving_leggings→aeronautics pressurized component M-29	M-29		motif M-29 | reason: aeronautics buoyancy balloon piece as a legging ingredient is speculative and the legging itself is a minor survival item; depth mismatch; times_suggested=1	CUT	
createfisheryindustry	MERGE	seafood→M-28 colony (rows at times_suggested 3,3,2,1,1 including 1 opus)	M-28		into: KEEP M-28 | reason: same delivery; merge; keep opus-corroborated row (3× all ACCEPT)	MERGE	
createfisheryindustry	MERGE	seafood→M-26 consumption sink (rows at times_suggested 3,1,1,1 including 1 opus)	M-26		into: KEEP M-26 | reason: all expressing same diet-pressure sink; merge	MERGE	
createfisheryindustry	MERGE	bait_trap seasonal catch (M-16, times_suggested 3,1 ACCEPT)	M-16		into: KEEP M-16 | reason: same delivery; merge	MERGE	
createfisheryindustry	MERGE	fish_skin→M-32 byproduct feedstock (leather substitute, times_suggested 2,1 opus ACCEPT)	M-32		into: KEEP M-28 delivery note | reason: fish_skin as a leather-substitute feedstock is a valid implementation detail (e.g., tag c:leather → fish_skin for colony construction); noted as a delivery option in the KEEP but not a separate anchor	MERGE	
createfisheryindustry	MERGE	seafood→combat-supply M-34 (times_suggested 1,1 ACCEPT)	M-34		into: KEEP M-26 note | reason: high-saturation food as combat sustain is a sub-case of M-26 consumption; fold into the KEEP delivery note	MERGE	
createfisheryindustry	MERGE	fish→createfisheryindustry peeling + farmersdelight cooking (inbound confirming rows, opus)	M-26		into: KEEP M-26 delivery note | reason: confirming existing inbound weave; no new action needed	MERGE	
createfisheryindustry	MERGE	copper_diving_leggings→fish_skin insulation M-29 (times_suggested=1)	M-29		into: CUT cold_sweat | reason: same speculative delivery; fold into CUT	MERGE	
createfood	KEEP	seasonal crop ingredients → createfood recipes	M-16	v0.9.0	motif M-16 | delivery: config (Serene Seasons crop-fertility config + KubeJS ingredient gate on seasonal-crop recipes — apple pie only when apples are in season) | milestone: v0.13.0 | an apple pie is only as plentiful as the harvest — seasonal scarcity of raw ingredients makes Create-food output fluctuate with the calendar; highest times_suggested (12) ACCEPT-consensus	KEEP	
createfood	KEEP	createfood finished dishes → economy (colony supply, MineColonies cook/restaurant hut requests)	M-28	v0.11.0	motif M-28 | delivery: config (MineColonies hut request lists seeded with createfood pies/pastries/milkshakes) | milestone: v0.9.0 | a colony cook demands pies and pastries from the player economy — high-effort food gates colony upkeep; 9× ACCEPT, opus-corroborated	KEEP	
createfood	KEEP	createfood dishes consumed under diet/hunger pressure	M-26	v0.9.0	motif M-26 | delivery: config (diet-group mapping; dishes already consumed by players under Spice-of-Life / food-variety pressure) | milestone: v0.13.0 | high-effort processed meals are consumed against hunger/diet pressure, renewing demand every session; 6× ACCEPT-consensus	KEEP	
createfood	CUT	createfood plated feast blocks → MineColonies cook/tavern (M-12 config/behavior)	M-12		motif M-12 | reason: MineColonies feeding might consume createfood dishes but this is a behavior link with no recipe motif; REJECT-majority (3×)	CUT	
createfood	CUT	createfood dishes as diet-group completers (M-12 Diet-AppleSeed auto-derive)	M-12		motif M-12 | reason: not a new weave — createfood already anchors survival via nutrition; auto-derive is existing behavior, not a recipe authoring task; REJECT-majority	CUT	
createfood	CUT	createfood dishes as magic reagents (M-10 arcane infusion)	M-10		motif M-10 | reason: processed food as arcane catalyst is tonally incoherent; Create-food is culinary-industrial, not arcane; REJECT-majority (all M-10 rows on createfood)	CUT	
createfood	CUT	createfood dishes → M-29 cross-route (Ars potion flask requiring a dish)	M-29		motif M-29 | reason: 2× ACCEPT but speculative; the magic anchor is not a target anchor for createfood (the three KEEP anchors are Create/survival/economy); a fourth cross-route to magic overloads; CUT-on-depth	CUT	
createfood	CUT	createfood → M-35 maturation/aging (cheesecake aged in casks)	M-35		motif M-35 | reason: 1× opus ACCEPT only; aging is better expressed as a create_cheese / expandeddelight weave on the aging specialist mod; createfood is the *consumer*, not the aging mod	CUT	
createfood	CUT	createfood dishes → M-08 coin mint (press dish into coin)	M-08		motif M-08 | reason: "sellable luxury = coin" is the retired M-09 framing; REJECT in verdicts; cut per hard rule	CUT	
createfood	CUT	createfood → M-31 logistics (fill casks for ship provisioning)	M-31		motif M-31 | reason: 1× only; the logistics angle is M-36/perishability mechanism-pending; defer to that build track	CUT	
createfood	CUT	createfood → M-33 catering service (plated food deco as catering)	M-33		motif M-33 | reason: deco blocks are not a recipe-method edge; 1× mixed; thin delivery	CUT	
createfood	CUT	createfood warm drinks → Cold Sweat config warmth bonus			no motif | reason: no numbered motif covers ad-hoc config-temperature-food link; no-method; REJECT-consensus	CUT	
createfood	CUT	createfood:apple_milkshake → alcohol industry (ferment juice to hard cider)	M-12		motif M-12 | reason: createfood already has 3 anchors; this is a same-pillar deepening without new cross-system link; 1× only	CUT	
createfood	CUT	createfood → M-05 MineColonies colony route as cheaper alt-production (bulk food)	M-05		motif M-05 | reason: M-05 is native-method gating of the mod's flagship item in its own machine; this is a M-28 colony-supply idea mislabeled; the M-28 KEEP captures it correctly	CUT	
createfood	MERGE	createfood seasonal dishes (M-16) - 1× opus, 2× other ACCEPT rows for seasonal-crop gate	M-16		into: M-16 KEEP | reason: same link at lower times_suggested; consolidate	MERGE	
createfood	MERGE	createfood:apple_milkshake / fruit drinks → seasonal gate	M-16		into: M-16 KEEP | reason: seasonal ingredient gate on the milkshake line is the same delivery as the apple-pie seasonal KEEP; fold	MERGE	
createfood	MERGE	createfood → M-28 colony supply (opus-corroborated 1× + 9× main)	M-28		into: M-28 KEEP | reason: all M-28 rows are the same link; prefer the 9× phrasing	MERGE	
createfood	MERGE	createfood dishes as M-26 (survival variant, 5×)	M-26		into: M-26 KEEP | reason: same motif, same mechanic; higher-times_suggested economy framing (6×) is preferred; fold survival-framed rows into the one KEEP	MERGE	
createfood	MERGE	createfood dish processing chain as M-12 inbound (is itself a giant M-12 consumer)	M-12		into: M-16 KEEP | reason: the M-12 "createfood is a Create-output consumer" is an inbound edge (Create feeds createfood), not a new createfood anchor; captured by the seasonal-input KEEP which gates the Create chain	MERGE	
createfurnitureseats	LEAVE				zero items/blocks registered beyond Create-furniture compatibility; both candidate rows are all-REJECT confirming no weave surface; mod already at 2 anchors via companion/aeronautics integration per dossier	LEAVE	
createimmersivetacz	KEEP	createimmersivetacz:nitropowder_bucket → create (M-12 via tfmg:vat_machine_recipe)	M-12	v0.9.0	motif M-12 | delivery: recipe (nitropowder fluid processed through TFMG's vat machine as a Create-side chemical step; adds industrial depth to the ammo supply chain) | milestone: v0.7.0 | why "of course": nitropowder is a Create-side fluid; TFMG's vat machine is the natural industrial chemistry vessel; 7× ACCEPT (4:3 split but the hook is coherent)	DONE	sweep S06: kubejs/data/createimmersivetacz/recipe/nitropowder_fluid.json (create:mixing of createbigcannons:nitropowder) + primer_f
createimmersivetacz	KEEP	createimmersivetacz:twelve_gauge_shell / rounds → economy (M-26 consumption sink)	M-26	v0.13.0	motif M-26 | delivery: config (ammo is consumed on use in combat; demand never zeroes; the Create-ammo factory faces recurring production demand) | milestone: v0.9.0 | why "of course": rounds are fired and gone — a consumption-sink that keeps the arms factory's output loop turning; 6× unanimous ACCEPT	KEEP	
createimmersivetacz	KEEP	createimmersivetacz ammo → economy (M-34 combat-route supply)	M-34	v0.13.0	motif M-34 | delivery: emergent trade (ammo is a consumable military good; combat specialist runs the factory; non-combat players buy shells) | milestone: v0.9.0 | why "of course": the arms-dealer specialist mass-produces ammo; non-factory players buy it for defense; 5× ACCEPT (folding in 3× M-34 near-dup)	KEEP	
createimmersivetacz	KEEP	createimmersivetacz ammo → aeronautics (M-31 logistics-required bulk good)	M-31	v0.13.0	motif M-31 | delivery: config/emergent (bulk ammo crates are heavy; supplying a distant PvPvE campaign from a dedicated arms factory requires cargo ships) | milestone: v0.9.0 | why "of course": crates of shells are too heavy to carry in inventory at scale; the arms dealer ships bulk ammo via airship; 2× ACCEPT [BALANCE-PENDING@sweep: no weight mechanic exists; edge rests on volume+regionality, keep emergent. [BALANCE-PENDING: do bulk ammo volumes at playtest scale exceed casual hand-carry?]]	KEEP	
createimmersivetacz	CUT	createimmersivetacz gun_barrel / firing_mechanism → create M-06 sequenced_assembly (10×)	M-06		motif M-06 | reason: the mod already uses sequenced_assembly natively for the ammo pipeline; adding more SA chains is deepening Create, not a new anchor; REJECT consensus (7 REJECT vs 3 ACCEPT)	CUT	
createimmersivetacz	CUT	createimmersivetacz nitropowder → magic M-10 (3× unanimous REJECT)	M-10		motif M-10 | reason: industrial explosive vs arcane infusion tone clash; no coherent lore bridge	CUT	
createimmersivetacz	CUT	createimmersivetacz guns → economy M-34 (3× — same link as KEEP above)	M-34		motif M-34 | reason: duplicate of KEEP M-34 above; REJECT the framing as "guns" rather than ammo (the M-34 KEEP is on ammo as the consumable, not guns as capital goods)	CUT	
createimmersivetacz	MERGE	createimmersivetacz ammo (rounds) → economy M-26 (2×)	M-26		into: KEEP M-26 above | reason: same consumption-sink link; lower times_suggested; folded	MERGE	
createimmersivetacz	MERGE	createimmersivetacz bulk ammo → economy M-26 (2×)	M-26		into: KEEP M-26 above | reason: same; folded	MERGE	
createimmersivetacz	MERGE	createimmersivetacz ammo → aeronautics M-31 (1×)	M-31		into: KEEP M-31 above | reason: same logistics-bulk-haul link; folded	MERGE	
createimmersivetacz	MERGE	createimmersivetacz bulk ammo supply → aeronautics M-31 (1×)	M-31		into: KEEP M-31 above | reason: same; folded	MERGE	
createimmersivetacz	CUT	createimmersivetacz gun_barrel → aeronautics M-24 (2×)	M-24		motif M-24 | reason: gun barrels are not propulsion/control components; tone clash; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz nitropowder → aeronautics M-13 (2×)	M-13		motif M-13 | reason: nitropowder is an explosive propellant, not a combustion fuel; tone clash; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo → MineColonies M-28 guard resupply (2×)	M-28	v0.13.0	motif M-28 | reason: plausible but 2× only; the colony Barracks ammo-supply is better expressed as a v0.9.0 economy design note rather than a Phase-3 recipe; the M-34 KEEP covers the supply side; CUT for now	CUT	
createimmersivetacz	CUT	createimmersivetacz gun_barrel colony M-28 (2×)	M-28		motif M-28 | reason: same; lower priority than the economy KDs; CUT	CUT	
createimmersivetacz	CUT	createimmersivetacz nitropowder → createbigcannons M-29 (2×)	M-29		motif M-29 | reason: CBC cartridge-filling is thematically sound but this is a cross-mod recipe on two non-magic mods — the cross-route dependency motif (M-29) is most powerful for magic↔Create or colony↔player splits; this is two Create-spine mods sharing a fluid; 2× only; CUT (flag for Phase-3 note)	CUT	
createimmersivetacz	CUT	createimmersivetacz primer → create M-04 crushing recycle (1×)	M-04		motif M-04 | reason: primers are mid-chain intermediates, not decoration; M-04 is deco-recycle; wrong motif; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz grenade casing → CBC ammo pipeline M-06 (1×)	M-06		motif M-06 | reason: bridges TACZ ammo types with CBC cartridges — thematically fine but would require CBC cross-mod recipe ownership; curation question not a weave; CUT	CUT	
createimmersivetacz	CUT	createimmersivetacz nitropowder → tfmg distillation M-13 (1×)	M-13		motif M-13 | reason: nitropowder is already a Create-internal fluid (IS the output, not a raw input); routing it through TFMG distillation would be going backward; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz gunpowder → tfmg coking M-12 (1× Opus REJECT)	M-12		motif M-12 | reason: already lives fully on the Create spine; TFMG crossover deepens Create but doesn't add a 2nd pillar; Opus REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz gun parts → magic M-02 (1× Opus REJECT)	M-02		motif M-02 | reason: industrial-military firearms have no coherent arcane reading; Opus REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz nitropowder → tfmg coking M-12 (1×)	M-12		motif M-12 | reason: same as above; deepens Create but no new anchor; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz gun parts → magic (no motif, 1×)			no motif | reason: no coherent magic hook; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz primer → occultism M-10 (1×)	M-10		motif M-10 | reason: imbuing a gunpowder primer has no thematic grounding; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz nitropowder → createaddition liquid_burning M-13 (1×)	M-13		motif M-13 | reason: M-13 reserved for aeronautics propulsion fuel; nitropowder-as-engine-fuel is off-theme; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz primer → create M-06 sequenced_assembly double-counting (1×)	M-06		motif M-06 | reason: primer IS already a sequenced_assembly product; double-counting; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo pipeline → create M-06 (1×)	M-06		motif M-06 | reason: already uses sequenced_assembly natively; not a new link; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo → economy M-08 (1×)	M-08		motif M-08 | reason: M-08 is player-minted currency, not commodity trade; wrong motif; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz gun_barrel → economy M-29 spirit-treated bore (1×)	M-29		motif M-29 | reason: "the gunsmith needs a spirit-treated bore" — tone clash; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo → create M-32 byproduct (1×)	M-32		motif M-32 | reason: the byproduct→input here is a design narrative ("coke-oven gases feed nitropowder mixer") — valid but 1× only; the TFMG vat KEEP covers the chemical-processing angle; CUT	CUT	
createimmersivetacz	CUT	createimmersivetacz gun_barrel → M-34 supply (1×)	M-34		motif M-34 | reason: finished guns are capital goods, not consumables; M-34 on ammo (KEEP) is the correct consumable form; CUT	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo → M-30 regional scarcity (1×)	M-30		motif M-30 | reason: brass is region-locked — this is a true M-30 link; however it is a design-level observation (brass scarcity already handled by GTMOGS/ore weave on the brass/zinc side), not a TACZ-specific weave; CUT, note for brass ore slate	CUT	
createimmersivetacz	CUT	createimmersivetacz gun_barrel → magic M-10 infused barrel (1×)	M-10		motif M-10 | reason: arcane infused gun barrel tone clash; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo → magic M-10 (1×)	M-10		motif M-10 | reason: industrial explosive/magic genre-discordant; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz primer → create M-29 mechanical_crafting andesite (1×)	M-29		motif M-29 | reason: andesite alloy is the existing Create anchor already; not a new cross-route; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz gun_barrel → magic M-29 nitropowder ritual (1×)	M-29		motif M-29 | reason: theme clash; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz firing_mechanism → survival M-15 Cataclysm gate (1×)	M-15		motif M-15 | reason: interesting boss-key link but single ACCEPT, no Opus; the M-15 hook is plausible if Cataclysm boss is confirmed in pack; flag for Phase-3 authoring note; CUT for now (insufficient corroboration)	CUT	
createimmersivetacz	CUT	createimmersivetacz factory → colony M-37 research (1×)	M-37	v0.13.0	motif M-37 | reason: single ACCEPT; appealing but thin; the colony ammo-supply angle is better as a v0.9.0 design note; CUT	CUT	
createimmersivetacz	CUT	createimmersivetacz nitropowder → magic ritual M-29 (1×)	M-29		motif M-29 | reason: theme clash confirmed; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz gun_barrel / firing_mechanism → aeronautics M-24 (1×)	M-24		motif M-24 | reason: gun parts on airship — no existing motif covers weapon mounts; would need Gate-0; REJECT	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo M-26 → survival (1×)	M-26		motif M-26 | reason: duplicate of M-26 KEEP (same consumption-sink, different to_pillar label); folded into KEEP	CUT	
createimmersivetacz	CUT	createimmersivetacz ammo → aeronautics M-31 (1×)	M-31		motif M-31 | reason: folded into KEEP M-31; duplicate	CUT	
createlowheated	KEEP	createlowheated:basic_burner solid-fuel consumption → consumption sink (fuel demand)	M-26	v0.9.0	motif M-26 | delivery: config (the mod's native behavior — every heated Create basin now burns solid fuel; verify the basic_burner is required rather than optional; coal/charcoal specialists become a logistics bottleneck) | milestone: v0.7.0 | why "of course": Create heat now costs real fuel every tick — a coal mine or charcoal kiln becomes a load-bearing supplier for every automated Create operation; the loop's closing arrow. Represents the 6-suggestion ACCEPT (M-26 solid-fuel cluster).	DONE	sweep S10: native passive-heat removal confirmed and built around in spine/20-power-ladder.js (lowheated→heated→superheated ladder;
createlowheated	KEEP	createlowheated lowheated heat-tier → woven Create basin recipes require managed heat	M-05	v0.9.0	motif M-05 | delivery: recipe (KubeJS — route weave-relevant Create basin recipes, e.g. magic-reagent refining steps, to require the lowheated tier rather than passive heat, making the burner a gate on the magic-production chain) | milestone: v0.7.0 | why "of course": the lowheated tier as a condition on woven processing recipes gives the burner structural importance — opus-corroborated 1-suggestion ACCEPT captures the intent; the 2-suggestion M-05 ACCEPT (iron casing + shaft recipe for the burner itself) is a valid companion delivery.	DONE	sweep S10: companion delivery shipped exactly (spine/20-power-ladder.js re-authors basic_burner from #c:plates/iron + #c:netherrack
createlowheated	MERGE	createlowheated:basic_burner solid-fuel M-26 rows (×5 lower-suggestion variants)	M-26		into: M-26 KEEP | reason: all state the same fuel-consumption mechanic creating a coal/charcoal demand sink.	MERGE	
createlowheated	MERGE	createlowheated TFMG:coke as premium burner fuel (M-32 rows ×2)	M-32		into: CUT below | reason: the coke-as-fuel upgrade is a plausible depth step but adding M-32 gives this thin addon a third anchor; fold into cut and leave as a maintainer option.	MERGE	
createlowheated	CUT	createlowheated M-16 seasonal fuel gating	M-16		motif M-16 | reason: REJECT (4R/1A); fuel is generic furnace fuel; no seasonal scarcity mechanic to leverage; the heat tier is fuel-driven, not season-gated.	CUT	
createlowheated	CUT	createlowheated M-29 magic reagent unlocks lowheated tier	M-29		motif M-29 | reason: REJECT (×2); Ars/Occultism use their own heat sources; the lowheated tier is a Create-internal balance tweak, not a cross-route dependency gate.	CUT	
createlowheated	CUT	createlowheated M-13 aeronautics propulsion fuel	M-13		motif M-13 | reason: REJECT; the basic_burner consumes solid furnace fuel only; M-13 is for liquid fuels powering Aeronautics engines; category error.	CUT	
createlowheated	CUT	createlowheated TFMG diesel/gasoline liquid mode	M-13		motif M-13 | reason: REJECT; no liquid fuel intake mode exists in the mod; would require mod capability that doesn't exist.	CUT	
createlowheated	CUT	createlowheated M-28 MineColonies charcoal colony route	M-28		motif M-28 | reason: 1-suggestion ACCEPT; while a charcoal-producing colony is a load-bearing supplier concept, this is implicit in the survival loop — not a distinct recipe weave; the M-26 KEEP covers the demand side.	CUT	
createlowheated	CUT	createlowheated M-32 TFMG:coke as premium burner fuel	M-32		motif M-32 | reason: 1-suggestion (×2 rows); valid idea but gives a thin addon a 3rd anchor; maintainer can add later as a config note; not a Phase-3 weave priority.	CUT	
createlowheated	CUT	createlowheated M-12 wood/charcoal chain pull	M-12		motif M-12 | reason: REJECT; "make charcoal to burn" is vanilla tree-farming into furnaces; no useful intermediate for another system.	CUT	
createlowheated	CUT	createlowheated any magic method			motif blank | reason: REJECT; the burner is a heat source, not a material; no magic method routes through a heat emitter.	CUT	
