mod	decision	link	motif	milestone	detail
createaddition	CUT	createaddition:seed_oil/bioethanol → liquid_burning + numismatics (M-12, 1-REJECT)	M-12		motif M-12 | reason: retired-economy framing (sell the fuel oil); seed_oil is a closed energy loop; CUT
createaddition	CUT	createaddition:biomass/biomass_pellet → create:compacting + numismatics (M-08, 1-REJECT)	M-08		motif M-08 | reason: biomass is renewable, not a scarce regional metal; M-08 doesn't apply; CUT
createaddition	CUT	createaddition:seed_oil/bioethanol → liquid_burning (M-12, 1-REJECT, economy framing)	M-12		motif M-12 | reason: ambient economy endpoint; CUT
createaddition	CUT	createaddition:copper_wire → tfmg:winding (M-12, 1-vote opus)	M-12		motif M-12 | reason: rolling-mill wire feeding TFMG's winding machine is a Create-internal chain (two Create add-on mods feeding each other); doesn't cross a pillar; CUT
createaddition	CUT	createaddition charging area-effect (M-17 ambient, 1-vote opus)	M-17		motif M-17 | reason: MERGE into M-17 KEEP — the ambient charging field is a delivery variant of the same tesla-coil → magic-focus connection; no separate anchor
createaddition	CUT	createaddition:electrum_ingot → create:pressing → aeronautics hull (M-23, 2-vote)	M-23		motif M-23 | reason: electrum-clad hull panels are thematically appealing but electrum is an electrical alloy, not a structural hull metal; M-23 targets load-bearing plates/beams; tone-fit is marginal; CUT
createaddition	CUT	createaddition:biomass/biomass_pellet → tfmg:coking (M-32, 1 vote)	M-32		motif M-32 | reason: biomass→coking is a valid industrial-circularity idea but thin at 1 vote with no confirmation; depth concern (introducing a TFMG intermediate for a biomass byproduct is a long chain for low payoff)
createaddition	CUT	createaddition:accumulator → aeronautics power supply (M-24, 1-vote)	M-24		motif M-24 | reason: accumulator-as-onboard-power-bank is ambient aeronautics build behavior (any FE storage device could serve); it doesn't route through a specific propulsion/control recipe — no-method beyond "put it in the hull"
createaddition	CUT	createaddition:seed_oil as magic ritual solvent (M-29, 1 vote)	M-29		motif M-29 | reason: distilled plant oil as a ritual solvent is evocative but there's no confirmed Ars/Occultism recipe that requires seed_oil specifically; no-method without a targeted recipe
createaddition	CUT	createaddition:copper_wire → northstar:circuit_engraver (M-29, 1 vote)	M-29		motif M-29 | reason: northstar is out-of-scope for this batch; also the circuit-engraver chain is a northstar-specific delivery, not a createaddition anchor; CUT here, note to northstar triage
createaddition	CUT	createaddition:electrum_ingot (gold + silver, occultism silver cross-route, M-29, 1 vote)	M-29		motif M-29 | reason: this is a valid cross-route idea — electrum requires occultism silver — but the anchor is already provided by M-17 (electric grid→magic) and M-12 (agriculture→FE); adding a fourth anchor risks over-linking; DEFER rather than full CUT — note to Phase-3 design that electrum's silver-sourcing from occultism is a latent cross-route worth a recipe edit if the magic-Create seam needs strengthening
createaddition	CUT	createaddition:rolling → createaddition:rolling internal (M-32, 2-vote, REJECT)	M-32		motif M-32 | reason: REJECT consensus; rolling is same-system deepening
createaddition	CUT	createaddition:accumulator → aeronautics (M-13, 1-ACCEPT)	M-13		motif M-13 | reason: accumulator stores FE, it doesn't produce propulsion fuel; M-13 is for fuel→engine intake, not FE storage; wrong motif
createaddition	CUT	createaddition:seed_oil → alcohol_industry:alcohol_boiling (M-12, 1 vote)	M-12		motif M-12 | reason: seed_oil→bioethanol distillation via alcohol_industry is a valid processing chain but alcohol_industry is the throughput mod, not createaddition; the anchor lives at createaddition only if the pressing step is the gate; this row duplicates the M-12 KEEP more verbosely
createaddition	CUT	createaddition:biomass/pellet → create:compacting (M-12, 1-REJECT)	M-12		motif M-12 | reason: REJECT; biomass already feeds liquid_burning; compacting into pellets is a round-trip
createaddition	MERGE	createaddition:charging + irons_spellbooks (M-17, 3-vote + 2-vote + 2-vote + 1-vote rows)	M-17		into: M-17 KEEP | reason: all describe the same tesla-coil → FE-charges-magic-gear connection; keep the 29-vote opus row as canonical
createaddition	MERGE	createaddition:seed_oil/bioethanol → FE → charging → magic focus (M-17, 1-vote chain row)	M-17		into: M-17 KEEP | reason: the farm→FE→charge path is a delivery detail of the M-17 anchor, not a separate weave
createaddition	MERGE	createaddition:bioethanol → aeronautics engine (M-13, 4-vote + 1-vote opus rows)	M-13		into: M-13 KEEP | reason: all describe the same bioethanol-as-entry-fuel idea; keep the higher-vote row
createaddition	MERGE	createaddition:copper_wire → aeronautics wiring (M-24, 1-vote + 1-vote rows)	M-24		into: M-24 KEEP | reason: same rolling-mill-wire → aeronautics-control-surface connection; fold
createaddition	MERGE	createaddition:rolling → aeronautics rolling-mill output feeding wire-consumers (M-12, 1-REJECT)	M-12		into: CUT | reason: rolling_mill output to train-wires is implicit aeronautics chain already; REJECT is correct; fold into the CUT pool
createadditionallogistics	KEEP	createadditionallogistics flexible-shafts→aeronautics	M-24	v0.9.0	motif M-24 | delivery: recipe (aeronautics construction recipe requiring flexible shaft variants) | milestone: v0.9.0 | why "of course": flexible shafts that connect any direction are exactly what a ship's mechanical drivetrain needs to route power to propellers and control linkages (times_suggested=4, ACCEPT 3/4; opus-corroborated row also ACCEPT)
createadditionallogistics	KEEP	createadditionallogistics lazy-cogwheels→economy (colony route)	M-28	v0.9.0	motif M-28 | delivery: config / KubeJS — MineColonies Blacksmith/Mechanic hut produces lazy shafts/cogwheels more cheaply | milestone: v0.9.0 | why "of course": a large Create factory needs dozens of lazy cogwheels; bulk production from a colony specialist is natural and gives the logistics mod an economy anchor (times_suggested=2, ACCEPT 1; strong thematic fit)
createadditionallogistics	CUT	createadditionallogistics flexible-shafts→aeronautics (M-23, times_suggested=2)	M-23		motif M-23 | reason: REJECT consensus; M-23 is for structural alloy/hull material; flexible shafts are kinetic QoL parts, not hull structural members; wrong motif; use M-24 (KEEP above)
createadditionallogistics	MERGE	createadditionallogistics brass-lazy-cogwheel→aeronautics M-24 (times_suggested=1 ACCEPT)	M-24		into: KEEP flexible-shafts→aeronautics | reason: near-duplicate; same M-24 drivetrain motif, lower confidence row
createadditionallogistics	MERGE	createadditionallogistics andesite-lazy-cogwheel M-20 (times_suggested=1 ACCEPT)	M-20		into: KEEP flexible-shafts→aeronautics | reason: M-20 deploy-application upgrade is an acceptable light delivery for this; absorbed into the aeronautics anchor
createadditionallogistics	CUT	createadditionallogistics brass-lazy-shaft→aeronautics M-24 (times_suggested=1 REJECT)	M-24		reason: REJECT; lazy shafts are general kinetics; not distinctly a drivetrain feed; absorbed by the stronger flexible-shaft KEEP
createadditionallogistics	CUT	createadditionallogistics flexible-shaft→aeronautics M-24 (times_suggested=1 REJECT)	M-24		reason: REJECT; duplicate of above
createadditionallogistics	CUT	createadditionallogistics andesite-cogwheel→create M-04 (times_suggested=1 REJECT)	M-04		reason: REJECT; cogwheels are functional kinetics parts not decorative blocks; M-04 crush-recycle does not apply
createadditionallogistics	CUT	createadditionallogistics brass-lazy-shaft as structural M-23 (times_suggested=1 REJECT)	M-23		reason: REJECT; lazy shafts are not airframe structural members; M-23 wrong motif
createadditionallogistics	CUT	createadditionallogistics flexible-shafts M-20 (times_suggested=1 REJECT)	M-20		reason: REJECT; shafts are already crafted from Create parts; second deploy step is double-gating a QoL component
createadditionallogistics	CUT	createadditionallogistics lazy-shafts ambient consumption (untagged REJECT)			reason: ambient use, no-method routing; correctly rejected
createadditionallogistics	CUT	createadditionallogistics bare MineColonies M-28 (times_suggested=1 REJECT)	M-28		reason: REJECT; the lazy shaft is a kinetics convenience block, not a colony-required exclusive; the stronger KEEP M-28 row above already covers the colony anchor at the right level
createadditionallogistics	DEFER	createadditionallogistics seats→aeronautics M-31 (times_suggested=1 ACCEPT)	M-31		motif M-31 | →playtest: seat-sizing for Stock Keeper logistics mobs is a flavour detail; confirm whether aeronautics train logistics actually uses these seats in practice before authoring a weave
createaddoncompatibility	LEAVE				pure compat shim — zero own items, zero recipes; the one candidate row's weave belongs on the plastic-producing mod, not this compat bridge
createbigcannons	KEEP	createbigcannons cannon-grade-steel→economy (mint)	M-08	v0.9.0	motif M-08 | delivery: recipe (create:processing → numismatics mint on c:ingots/steel) | milestone: v0.9.0 | why "of course": cannon-grade steel is a scarce processed metal; a metallurgist who runs the melt+cast route mints coin — the settlement medium flows from the forge (8+2 times_suggested; opus-corroborated; strong ACCEPT)
createbigcannons	KEEP	createbigcannons munitions/shells→economy (combat supply)	M-34	v0.9.0	motif M-34 | delivery: emergent trade (a munitions specialist makes shells and sells to crews who want ship cannons but haven't set up a foundry) | milestone: v0.9.0 | why "of course": shells are consumed every shot, so a combat player's demand for munitions never zeroes; the munitions specialist always has a market (6+4+1+1 times_suggested; multiple ACCEPT rows)
createbigcannons	KEEP	createbigcannons munitions consumption-sink	M-26	v0.9.0	motif M-26 | delivery: native mechanic (shells consumed when fired) | milestone: v0.9.0 | why "of course": shells are spent per shot; the demand-renewal edge closes the loop for the munitions economy (3 times_suggested opus-corroborated; ACCEPT consensus) — note: this is the structural "closing arrow" of the M-34 KEEP above; keep both to document the loop
createbigcannons	KEEP	createbigcannons nethersteel→magic (cross-route)	M-10	v0.11.0	motif M-10 | delivery: KubeJS recipe (occultism:spirit_fire or ars_nouveau:imbuement attunes nethersteel into a magic-hardened shell component) | milestone: v0.11.0 | why "of course": nethersteel is forged in nether soul-fire — arcane infusion that makes shells penetrate arcane wards is a coherent cross-route that forces the cannoneer to engage with the magic pillar (2 times_suggested; ACCEPT consensus)
createbigcannons	CUT	createbigcannons steel→aeronautics M-23 (times_suggested=4)	M-23		motif M-23 | reason: this is the *existing* aeronautics anchor (already recorded in dossier); not a new weave to file; recording as-is
createbigcannons	CUT	createbigcannons items→MineColonies M-28 (times_suggested=3)	M-28		motif M-28 | reason: mixed ACCEPT/REJECT; colony producing basic iron/steel is generic colony-route behavior already implied by MineColonies; cannon components are a stretch for a colony hut without a specific hook; insufficient specificity — subsumed by M-34 trade KEEP
createbigcannons	CUT	createbigcannons steel/cast-iron regional-scarcity M-30 (times_suggested=3)	M-30		motif M-30 | reason: valid design observation but this is a worldgen-config action, not a recipe weave; no Phase-3 recipe action on CBC items; duplicate of the economy anchor already covered
createbigcannons	CUT	createbigcannons loot-seed M-08 (times_suggested=2 REJECT)	M-08		reason: REJECT consensus; cannon salvage loot is not the scarcity-metal→coin minting flow; the M-08 KEEP above covers steel minting correctly
createbigcannons	CUT	createbigcannons cannon-barrel→aeronautics M-24 (times_suggested=2)	M-24		motif M-24 | reason: mixed; cannon mounts on ships are the existing aeronautics anchor (M-23 structural); M-24 as drivetrain — a cannon mount is a weapon not a propulsion/control surface; duplicate of existing anchor, not a new weave
createbigcannons	CUT	createbigcannons loot→survival M-02 (times_suggested=2)	M-02		motif M-02 | reason: seeding rare components into dungeon loot is plausible but CBC's primary loop is production→economy; a loot-seed here is a distraction from the three strong KEEPs; single-system value only
createbigcannons	CUT	createbigcannons cannon→ars_nouveau enchanting M-29 (times_suggested=2 REJECT)	M-29		reason: REJECT consensus; enchanting a cannon barrel is thematically absurd; tone clash
createbigcannons	CUT	createbigcannons bronze/cannon-barrel→aeronautics M-23 (opus, times_suggested=1)	M-23		motif M-23 | reason: existing anchor (aeronautics+create); not a new weave; subsumed
createbigcannons	CUT	createbigcannons nethersteel→occultism:spirit_fire M-11 (times_suggested=1 REJECT)	M-11		reason: REJECT; tonal clash; military-industrial metal routing through dark-ritual as reagent; better served by M-10 KEEP (arcane infusion of nethersteel into shell component)
createbigcannons	CUT	createbigcannons big_cartridge_sheet→create:pressing M-20 (times_suggested=1 REJECT)	M-20		reason: REJECT; pressing already routes through CBC's own methods; redundant
createbigcannons	CUT	createbigcannons nethersteel-barrel→boss-key M-15 (opus, times_suggested=1)	M-15		motif M-15 | reason: single ACCEPT; the M-10 KEEP already forces cross-route engagement; adding a separate boss-key gate on the same nethersteel would double-gate endgame content; CUT (depth guardrail)
createbigcannons	CUT	createbigcannons cannon-foundry recycle M-04 (opus, times_suggested=1 REJECT)	M-04		reason: REJECT; CBC already has its own melting method that recycles metal; duplicate
createbigcannons	CUT	createbigcannons nethersteel→occultism ritual M-11 (times_suggested=1 REJECT)	M-11		reason: REJECT; same tonal-clash issue as above
createbigcannons	CUT	createbigcannons cannon-mount→service-for-hire M-33 (times_suggested=1)	M-33		motif M-33 | reason: single ACCEPT; gunship fire-support as a paid service is emergent behavior, not an authored weave — it happens naturally if the cannon ecosystem works; no recipe authoring needed
createbigcannons	CUT	createbigcannons cast-iron/steel→create:crushing M-03 (times_suggested=1 REJECT)	M-03		reason: REJECT; CBC metals arrive as already-processed ingots, not ores; M-03 is ore-doubling, not ingot-recycling
createbigcannons	CUT	createbigcannons steel→sequenced-assembly M-06 (times_suggested=1)	M-06		motif M-06 | reason: mixed; cannon-grade steel does not need an additional sequenced-assembly chain on top of the foundry chain; depth would over-gate an already-deep material
createbigcannons	CUT	createbigcannons cannon-blocks→aeronautics M-23 (times_suggested=1 ACCEPT)	M-23		reason: cannon barrels are weapons not structural airframe members; M-23 wrong target; existing aeronautics anchor already covers steel plate
createbigcannons	CUT	createbigcannons nethersteel regional-scarcity M-30 (times_suggested=1)	M-30		motif M-30 | reason: valid design note but requires worldgen config, not a recipe weave; no Phase-3 action
createbigcannons	CUT	createbigcannons cannon-mount/barrel→create:sequenced-assembly M-06 (times_suggested=1)	M-06		reason: single ACCEPT; the foundry chain is already deep; wrapping again in sequenced-assembly would over-gate; depth guardrail
createbigcannons	CUT	createbigcannons shell-casings→create:crushing M-32 (times_suggested=1)	M-32		motif M-32 | reason: single ACCEPT; industrial circularity is a nice idea but CBC already has its own melting/foundry recycle path; duplicate method
createbigcannons	CUT	createbigcannons steel→TFMG-blast-furnace M-29 (times_suggested=1)	M-29		motif M-29 | reason: single ACCEPT; TFMG blast furnace as the steel source is a valid design choice but CBC has its own foundry; making TFMG mandatory for CBC steel would depth-gate already-gated content; defer to design discussion
createbigcannons	CUT	createbigcannons gunpowder→TFMG-byproduct M-32 (opus, times_suggested=1)	M-32		motif M-32 | reason: single ACCEPT; TFMG sulfur/saltpeter → propellant is a good idea but this is a separate TFMG-side weave to author against TFMG, not CBC; route to TFMG triage
createbigcannons	MERGE	createbigcannons munitions→economy M-34 (times_suggested=1, various wordings)	M-34		into: KEEP munitions M-34 | reason: multiple 1-count rows with identical from→to ("munitions specialist sells shells"); absorbed
createbigcannons	MERGE	createbigcannons MineColonies-gunpowder M-28 (times_suggested=1)	M-28		into: KEEP munitions M-34 | reason: colony gunpowder supply is a colony-route cheap-basics that feeds the munitions chain; near-enough the M-34 economy anchor; no separate KEEP needed
createbigcannons	MERGE	createbigcannons advanced-munitions M-37 (times_suggested=1)	M-37		into: KEEP munitions M-34 | reason: research-gate on advanced shells is a delivery variant of the same munitions economy anchor; absorbed
createbigcannons	MERGE	createbigcannons colony-ordnance M-37 (times_suggested=1)	M-37		into: KEEP munitions M-34 | reason: near-duplicate of above; same absorption
createbigcannons	MERGE	createbigcannons nethersteel M-19 / M-10 (times_suggested=1)	M-19		into: KEEP nethersteel→magic M-10 | reason: occultism:spirit_fire / haunting step on nethersteel is a variant delivery for the same magic cross-route; absorbed
createblockchain	KEEP	createblockchain:currency_miner FE intake → Create-Addition FE sourced from scarce regional metal	M-08	v0.9.0	motif M-08 | delivery: config (ensure the currency_miner's FE supply traces through a Create-Addition generator running on a scarce regionally-processed metal — e.g. zinc/copper from a GTMOGS-region vein — so minted coins trace back to regional scarcity; no new recipe needed, document the config chain) | milestone: v0.9.0 | why "of course": coins don't come from nothing — the currency miner runs on FE from a real Create electric plant burning processed scarce metal; controlling the FE plant means controlling the money supply. Represents the 4-suggestion opus-corroborated ACCEPT cluster (M-08 FE-tracing rows).
createblockchain	KEEP	createblockchain:mining_core (geode worldgen consumable) → M-30 regional-scarcity gate on coin supply	M-30	v0.9.0	motif M-30 | delivery: config (GTMOGS / worldgen config — geode spawn rate is the regional scarcity valve; coins are as common as geodes; configure geode placement as biome-or-region-specific) | milestone: v0.9.0 | why "of course": Mining Cores only spawn in geodes spread every 30+ chunks; controlling a geode vein controls the mint; regional coin scarcity emerges from spatial resource scarcity. 7-suggestion ACCEPT.
createblockchain	MERGE	createblockchain FE → coin minting rows (M-08 / M-29 FE-chain variants ×5)	M-08		into: FE-tracing M-08 KEEP | reason: all describe the same FE-sourced-from-scarce-metal → coin chain; prefer the opus-corroborated representative.
createblockchain	MERGE	createblockchain:mining_core geode M-30 rows (×3 lower-suggestion)	M-30		into: M-30 KEEP | reason: all state the geode spawn rate is the scarcity valve; dedupe.
createblockchain	MERGE	createblockchain:piggy_bank loot M-08 rows (×3)	M-08		into: CUT below | reason: fold; piggy-bank coin seeding in chests is an NPC-faucet-adjacent action (coins from outside the player economy); cut.
createblockchain	MERGE	createblockchain FE → coin minting M-29 (cross-route dependency) rows (×2)	M-29		into: M-08 KEEP | reason: the cross-route dependency (you need a Create FE plant to mint coins) is already captured in the M-08 KEEP; the M-29 elaboration is the same connection.
createblockchain	CUT	createblockchain:piggy_bank loot-seed (M-08/M-34)	M-08		motif M-08/M-34 | reason: REJECT (5R/2A); piggy-bank chest loot delivers coins found by explorers = an NPC coin faucet (coins not minted by a player); contradicts the player-run economy ruling.
createblockchain	CUT	createblockchain:mining_core → create:crushing to extract core (M-03)	M-03		motif M-03 | reason: mixed (5A/5R); the 10-suggestion row is near-even split; the core's primary role is as the scarcity consumable (M-30 KEEP) — adding a Create-processing step to extract it introduces depth on a rate-limiter that's already the scarcity valve; the M-30 KEEP captures the intent without a mandatory crush step.
createblockchain	CUT	createblockchain:mining_core → occultism:spirit_fire / M-11	M-11		motif M-11 | reason: REJECT; the mining_core is already the scarcity throttle; repurposing it as a magic reagent risks losing the coin gate.
createblockchain	CUT	createblockchain:mining_core → occultism:miner spirit-logistics (M-18)	M-18		motif M-18 | reason: REJECT (opus); spirit-mining the rate-limiter undoes the geode gate; magic should not be a bypass to the coin scarcity valve.
createblockchain	CUT	createblockchain:cryotheum_coolant → create:mixing/TFMG (M-05/M-12/M-32/M-29)	M-05		motif M-05/M-12/M-32/M-29 | reason: REJECT; cryotheum is a proprietary operational consumable for the miner; routing it through Create/TFMG chemistry has no thematic grounding and adds depth to a secondary operational input.
createblockchain	CUT	createblockchain:currency_miner → create:sequenced_assembly (M-06)	M-06		motif M-06 | reason: 1-suggestion; the miner is a single-machine purchase, not a multi-stage endgame keystone; M-06 depth is disproportionate.
createblockchain	CUT	createblockchain:mining_core → M-07 attunement catalyst	M-07		motif M-07 | reason: 1-suggestion; galosphere already owns the M-07 slot; the mining_core is the M-30 scarcity valve, not a magic catalyst.
createblockchain	CUT	createblockchain:mining_core → M-16/M-22 seasonal/lunar rows	M-16		motif M-16/M-22 | reason: REJECT; biome-modifier worldgen has no time-based config hook; feasibility too low.
createblockchain	CUT	createblockchain FE → createnuclear / M-32 nuclear-powered mint	M-32		motif M-32 | reason: 1-suggestion; interesting but too speculative for a Phase-3 weave; no nuclear reactor mod confirmed in pack.
createfisheryindustry	KEEP	seafood (chowder/soups/steaks)→economy via MineColonies colony requests	M-28	v0.9.0	motif M-28 | delivery: config — MineColonies Cook/Restaurant hut request table seeded with createfisheryindustry seafood items (seafood_chowder, cooked_lobster, mussel_soup) | milestone: v0.9.0 | why "of course": the colony kitchen always needs protein; a fishing specialist supplying the colony becomes the settlement's food chain — no colony can afford to keep its own fishery easily
createfisheryindustry	KEEP	seafood dishes→survival (protein diet demand, consumption sink)	M-26	v0.13.0	motif M-26 | delivery: confirm createfisheryindustry seafood is tagged in Diet-AppleSkin protein group (or KubeJS tag if missing) | milestone: v0.13.0 | why "of course": high-saturation seafood dishes are spent against hunger and diet-variety pressure; the fishery has a permanent consumption sink
createfisheryindustry	KEEP	bait_trap catch→survival (seasonal bait, seasonal rare catch)	M-16	v0.13.0	motif M-16 | delivery: config — seed seasonal bait types into the bait_trap catch table (spring: bloodworm, summer: cicada, winter: ice-grub) so rare shellfish/lobster only appear in season-appropriate windows; requires Serene Seasons integration check | milestone: v0.13.0 | why "of course": a fishing operation that runs year-round but peaks in season forces a stockpile-or-trade decision; the seasonal catch table is already a config surface the mod exposes
createfisheryindustry	CUT	fish_skin→ars_nouveau:imbuement (magic reagent)	M-10		motif M-10 | reason: tone clash — mundane leather-substitute has no arcane resonance; REJECT dominant (5 rows, mix 3 ACCEPT but consistently flagged tone-mismatch in hooks)
createfisheryindustry	CUT	fish_skin→occultism:spirit_fire (M-11 transmutation)	M-11		motif M-11 | reason: crustaceans/fish hide as occult reagents have no lore grounding; REJECT dominant; already CUT in comparable tone-clash rows
createfisheryindustry	CUT	harpoon→create:sequenced_assembly (deeper chain)	M-06		motif M-06 | reason: harpoon is already a Create-anchored item (inbound weaves present); re-layering is redundant; REJECT dominant
createfisheryindustry	CUT	fish_skin→create:milling or farmersdelight:cutting (second processing step)	M-12		motif M-12 | reason: fish_skin is already the output of the peeling step; a second Create milling step is redundant housekeeping; REJECT dominant (10× top row, 5 REJECTs)
createfisheryindustry	CUT	fish_skin→aeronautics:upholstery/soft-goods M-23	M-23		motif M-23 | reason: fish_skin as airship balloon fabric is a stretch; M-23 is for load-bearing structural metal, not soft goods; REJECT dominant
createfisheryindustry	CUT	copper_diving_leggings→create:sequenced_assembly or aeronautics M-24	M-24		motif M-24 | reason: diving leggings are underwater survival gear, not a propulsion/control component; forced drivetrain link; REJECT dominant
createfisheryindustry	CUT	copper_diving_leggings→create_new_age:energising M-17	M-17		motif M-17 | reason: M-17 is for charging tools/foci/reagents; diving leggings are passive armor, not charge-driven; REJECT
createfisheryindustry	CUT	bait_trap→create:sequenced_assembly (M-06 endgame)	M-06		motif M-06 | reason: bait_trap is mid-tier; M-06 explicitly for endgame flagships; depth guardrail; REJECT
createfisheryindustry	CUT	fish_skin→cold_sweat insulation (fish_skin panels as insulating lining)	M-12		motif M-12/M-29 | reason: times_suggested=1; no confirmed cold_sweat config surface for fish_skin; speculative; thin ACCEPT
createfisheryindustry	CUT	raw fish→ars_nouveau:vitalic or agronomic sourcelink	M-02		motif M-02 | reason: sourcelinks consume mob events, not fish items directly; routing raw fish into Ars Source requires an imbuement step that isn't the sourcelink; mis-method; REJECT
createfisheryindustry	CUT	seafood→create_cheese:maturing or farmersdelight double-processing	M-12		motif M-12 | reason: prepared dishes are finished food; routing through another processing method is gilding; REJECT dominant (opus row)
createfisheryindustry	CUT	harpoon_gun→aeronautics ship-mounted use M-24	M-24		motif M-24 | reason: harpoon is a handheld weapon that happens to use backtank air; mounting on ship is player-emergent, not a recipe weave; REJECT
createfisheryindustry	CUT	mussels/lobster→ocean biome scarcity M-30	M-30		motif M-30 | reason: ocean-biome dependence is normal fishing mechanics, not GTMOGS-style regional ore-gen; M-30 requires the GTMOGS gate; mis-motif; REJECT
createfisheryindustry	CUT	fish_skin→bulk aeronautics transport M-31	M-31		motif M-31 | reason: fish_skin is not demonstrably heavy/perishable enough to require aeronautics at scale; speculative; times_suggested=1
createfisheryindustry	CUT	bait_trap→M-29 cross-route (magic reagent bait)	M-29		motif M-29 | reason: no existing bait_trap method accepts a magic reagent input; would require inventing a mechanic; REJECT
createfisheryindustry	CUT	copper_diving_leggings→aeronautics pressurized component M-29	M-29		motif M-29 | reason: aeronautics buoyancy balloon piece as a legging ingredient is speculative and the legging itself is a minor survival item; depth mismatch; times_suggested=1
createfisheryindustry	MERGE	seafood→M-28 colony (rows at times_suggested 3,3,2,1,1 including 1 opus)	M-28		into: KEEP M-28 | reason: same delivery; merge; keep opus-corroborated row (3× all ACCEPT)
createfisheryindustry	MERGE	seafood→M-26 consumption sink (rows at times_suggested 3,1,1,1 including 1 opus)	M-26		into: KEEP M-26 | reason: all expressing same diet-pressure sink; merge
createfisheryindustry	MERGE	bait_trap seasonal catch (M-16, times_suggested 3,1 ACCEPT)	M-16		into: KEEP M-16 | reason: same delivery; merge
createfisheryindustry	MERGE	fish_skin→M-32 byproduct feedstock (leather substitute, times_suggested 2,1 opus ACCEPT)	M-32		into: KEEP M-28 delivery note | reason: fish_skin as a leather-substitute feedstock is a valid implementation detail (e.g., tag c:leather → fish_skin for colony construction); noted as a delivery option in the KEEP but not a separate anchor
createfisheryindustry	MERGE	seafood→combat-supply M-34 (times_suggested 1,1 ACCEPT)	M-34		into: KEEP M-26 note | reason: high-saturation food as combat sustain is a sub-case of M-26 consumption; fold into the KEEP delivery note
createfisheryindustry	MERGE	fish→createfisheryindustry peeling + farmersdelight cooking (inbound confirming rows, opus)	M-26		into: KEEP M-26 delivery note | reason: confirming existing inbound weave; no new action needed
createfisheryindustry	MERGE	copper_diving_leggings→fish_skin insulation M-29 (times_suggested=1)	M-29		into: CUT cold_sweat | reason: same speculative delivery; fold into CUT
createfood	KEEP	seasonal crop ingredients → createfood recipes	M-16	v0.13.0	motif M-16 | delivery: config (Serene Seasons crop-fertility config + KubeJS ingredient gate on seasonal-crop recipes — apple pie only when apples are in season) | milestone: v0.13.0 | an apple pie is only as plentiful as the harvest — seasonal scarcity of raw ingredients makes Create-food output fluctuate with the calendar; highest times_suggested (12) ACCEPT-consensus
createfood	KEEP	createfood finished dishes → economy (colony supply, MineColonies cook/restaurant hut requests)	M-28	v0.9.0	motif M-28 | delivery: config (MineColonies hut request lists seeded with createfood pies/pastries/milkshakes) | milestone: v0.9.0 | a colony cook demands pies and pastries from the player economy — high-effort food gates colony upkeep; 9× ACCEPT, opus-corroborated
createfood	KEEP	createfood dishes consumed under diet/hunger pressure	M-26	v0.13.0	motif M-26 | delivery: config (diet-group mapping; dishes already consumed by players under Spice-of-Life / food-variety pressure) | milestone: v0.13.0 | high-effort processed meals are consumed against hunger/diet pressure, renewing demand every session; 6× ACCEPT-consensus
createfood	CUT	createfood plated feast blocks → MineColonies cook/tavern (M-12 config/behavior)	M-12		motif M-12 | reason: MineColonies feeding might consume createfood dishes but this is a behavior link with no recipe motif; REJECT-majority (3×)
createfood	CUT	createfood dishes as diet-group completers (M-12 Diet-AppleSeed auto-derive)	M-12		motif M-12 | reason: not a new weave — createfood already anchors survival via nutrition; auto-derive is existing behavior, not a recipe authoring task; REJECT-majority
createfood	CUT	createfood dishes as magic reagents (M-10 arcane infusion)	M-10		motif M-10 | reason: processed food as arcane catalyst is tonally incoherent; Create-food is culinary-industrial, not arcane; REJECT-majority (all M-10 rows on createfood)
createfood	CUT	createfood dishes → M-29 cross-route (Ars potion flask requiring a dish)	M-29		motif M-29 | reason: 2× ACCEPT but speculative; the magic anchor is not a target anchor for createfood (the three KEEP anchors are Create/survival/economy); a fourth cross-route to magic overloads; CUT-on-depth
createfood	CUT	createfood → M-35 maturation/aging (cheesecake aged in casks)	M-35		motif M-35 | reason: 1× opus ACCEPT only; aging is better expressed as a create_cheese / expandeddelight weave on the aging specialist mod; createfood is the *consumer*, not the aging mod
createfood	CUT	createfood dishes → M-08 coin mint (press dish into coin)	M-08		motif M-08 | reason: "sellable luxury = coin" is the retired M-09 framing; REJECT in verdicts; cut per hard rule
createfood	CUT	createfood → M-31 logistics (fill casks for ship provisioning)	M-31		motif M-31 | reason: 1× only; the logistics angle is M-36/perishability mechanism-pending; defer to that build track
createfood	CUT	createfood → M-33 catering service (plated food deco as catering)	M-33		motif M-33 | reason: deco blocks are not a recipe-method edge; 1× mixed; thin delivery
createfood	CUT	createfood warm drinks → Cold Sweat config warmth bonus			no motif | reason: no numbered motif covers ad-hoc config-temperature-food link; no-method; REJECT-consensus
createfood	CUT	createfood:apple_milkshake → alcohol industry (ferment juice to hard cider)	M-12		motif M-12 | reason: createfood already has 3 anchors; this is a same-pillar deepening without new cross-system link; 1× only
createfood	CUT	createfood → M-05 MineColonies colony route as cheaper alt-production (bulk food)	M-05		motif M-05 | reason: M-05 is native-method gating of the mod's flagship item in its own machine; this is a M-28 colony-supply idea mislabeled; the M-28 KEEP captures it correctly
createfood	MERGE	createfood seasonal dishes (M-16) - 1× opus, 2× other ACCEPT rows for seasonal-crop gate	M-16		into: M-16 KEEP | reason: same link at lower times_suggested; consolidate
